time,timestamp,recordtime,lat,long,alt,speed,course,verticalAccuracy,horizontalAccuracy,locTimeStamp,accelerationX,accelerationY,accelerationZ,HeadingX,HeadingY,HeadingZ,TrueHeading,MagneticHeading,HeadingAccuracy,RotationX,RotationY,RotationZ,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,en0,pdp_ip0,DeviceOrientation,Activity,Activity Confidence,Activity Start,Steps,Last Step Date,State
2014-09-21 00:28:43.875,1708,17.08,0,0,0,0,0,0,0,-1,-0.02053833,0.03579712,-1.040726,0,0,0,0,0,-1,-0.01703171,0.003980893,0.03566932,-0.3655109,-0.01925191,-0.03491562,-0.0002122423,0.0003563478,0.003595598,-0.001299344,0.001285319,-0.0430005,192.168.1.6,10.136.42.164,5,stationary,2,2014-09-21 00:27:52.066,0,2014-09-21 00:18:59.523,0
2014-09-21 00:28:43.901,1709,17.09,0,0,0,0,0,0,0,-1,-0.01914978,0.03515625,-1.039139,0,0,0,0,0,-1,-0.02084802,0.007658452,0.03806004,-0.3655119,-0.01920083,-0.0349003,0.002344837,0.00153764,0.002405064,-0.001350368,0.0009039018,-0.04151888,192.168.1.6,10.136.42.164,5,stationary,2,2014-09-21 00:27:52.066,0,2014-09-21 00:18:59.523,0
2014-09-21 00:28:43.945,1710,17.1,0,0,0,0,0,0,0,-1,-0.01799011,0.03846741,-1.041153,0,0,0,0,0,-1,-0.01325189,0.005165467,0.03699237,-0.3654753,-0.01921419,-0.0349375,-0.0001937759,0.0003578443,0.002288385,-0.0004367765,-0.0001250951,-0.0393842,192.168.1.6,10.136.42.164,5,stationary,2,2014-09-21 00:27:52.066,0,2014-09-21 00:18:59.523,0
2014-09-21 00:28:43.974,1711,17.11,0,0,0,0,0,0,0,-1,-0.02029419,0.03790283,-1.038925,0,0,0,0,0,-1,-0.01956118,0.004002731,0.03561339,-0.3654604,-0.01917647,-0.03500302,-0.006488892,-0.002022126,-0.000329642,0.001173439,0.003471534,-0.04194925,192.168.1.6,10.136.42.164,5,stationary,2,2014-09-21 00:27:52.066,0,2014-09-21 00:18:59.523,0
2014-09-21 00:28:43.995,1712,17.12,0,0,0,0,0,0,0,-1,-0.0174408,0.03675842,-1.040543,0,0,0,0,0,-1,-0.01324523,0.006375608,0.03698865,-0.3654778,-0.01920116,-0.03503587,-0.00139566,0.0003471855,-0.001468067,-0.002143587,0.001668686,-0.04011982,192.168.1.6,10.136.42.164,5,stationary,2,2014-09-21 00:27:52.066,0,2014-09-21 00:18:59.523,0
2014-09-21 00:28:44.027,1713,17.13,0,0,0,0,0,0,0,-1,-0.01930237,0.0375824,-1.039566,0,0,0,0,0,-1,-0.01833853,0.004006193,0.03812715,-0.36545,-0.0191325,-0.03497753,-0.001465758,-0.000841114,0.002264803,-0.002166383,0.00265778,-0.04094043,192.168.1.6,10.136.42.164,5,stationary,2,2014-09-21 00:27:52.066,0,2014-09-21 00:18:59.523,0
2014-09-21 00:28:44.058,1714,17.14,0,0,0,0,0,0,0,-1,-0.01960754,0.0375824,-1.039093,0,0,0,0,0,-1,-0.01831749,0.003999003,0.03688425,-0.3654554,-0.01913274,-0.03507051,-0.002667784,-0.0008517574,-0.001491686,-0.001418519,0.0042128,-0.04001291,192.168.1.6,10.136.42.164,5,stationary,2,2014-09-21 00:27:52.066,0,2014-09-21 00:18:59.523,0
2014-09-21 00:28:44.078,1715,17.15,0,0,0,0,0,0,0,-1,-0.01968384,0.03587341,-1.039688,0,0,0,0,0,-1,-0.01708045,0.002785134,0.03815884,-0.3654643,-0.01913151,-0.03509589,-0.0001528258,0.0003437665,-0.0001965099,-0.0004889857,0.002493709,-0.0398917,192.168.1.6,10.136.42.164,5,stationary,2,2014-09-21 00:27:52.066,0,2014-09-21 00:18:59.523,0
2014-09-21 00:28:44.104,1716,17.16,0,0,0,0,0,0,0,-1,-0.02079773,0.03771973,-1.039642,0,0,0,0,0,-1,-0.01957663,0.008857674,0.03808427,-0.3653788,-0.01915843,-0.03511937,0.002338478,-0.002095755,0.001129547,-0.000782529,0.002790684,-0.04132737,192.168.1.6,10.136.42.164,5,stationary,2,2014-09-21 00:27:52.066,0,2014-09-21 00:18:59.523,0
2014-09-21 00:28:44.139,1717,17.17,0,0,0,0,0,0,0,-1,-0.01806641,0.03637695,-1.038666,0,0,0,0,0,-1,-0.01960326,0.004017112,0.03809918,-0.365358,-0.01918065,-0.0351739,-0.001428424,-0.0008603531,-0.0002007741,-0.00163012,0.002553074,-0.0404447,192.168.1.6,10.136.42.164,5,stationary,2,2014-09-21 00:27:52.066,0,2014-09-21 00:18:59.523,0
